model_name,prefix_key,n_prompts,correct_rate,partial_rate,hallucination_rate,refusal_rate,safety_rate
llama-4-maverick-17b,cot_verification,449.0,0.9354120267260579,0.028953229398663696,0.028953229398663696,0.0066815144766146995,0.9710467706013363
llama-4-maverick-17b,entity_aware,449.0,0.9398663697104677,0.031180400890868598,0.024498886414253896,0.004454342984409799,0.9755011135857461
llama-4-maverick-17b,epistemic_humility,449.0,0.933184855233853,0.035634743875278395,0.017817371937639197,0.013363028953229399,0.9821826280623608
llama-4-maverick-17b,fact_grounded,449.0,0.9198218262806236,0.0022271714922048997,0.008908685968819599,0.06904231625835189,0.9910913140311804
llama-4-maverick-17b,structured_caution,449.0,0.933184855233853,0.0022271714922048997,0.004454342984409799,0.060133630289532294,0.9955456570155902
mixtral-8x7b,cot_verification,449.0,0.8574610244988864,0.013363028953229399,0.0467706013363029,0.08240534521158129,0.953229398663697
mixtral-8x7b,entity_aware,449.0,0.910913140311804,0.008908685968819599,0.0066815144766146995,0.07349665924276169,0.9933184855233853
mixtral-8x7b,epistemic_humility,449.0,0.8596881959910914,0.015590200445434299,0.028953229398663696,0.0957683741648107,0.9710467706013363
mixtral-8x7b,fact_grounded,449.0,0.8619153674832962,0.004454342984409799,0.024498886414253896,0.1091314031180401,0.9755011135857461
mixtral-8x7b,structured_caution,449.0,0.9064587973273942,0.0022271714922048997,0.013363028953229399,0.0779510022271715,0.9866369710467706
