model_name,prefix_key,category,n_prompts,correct_rate,hallucination_rate,refusal_rate
mixtral-8x7b,fact_grounded,borderline_obscure_real,30.0,0.7666666666666667,0.0,0.23333333333333334
mixtral-8x7b,fact_grounded,borderline_plausible_fake,31.0,0.6774193548387096,0.06451612903225806,0.25806451612903225
mixtral-8x7b,fact_grounded,factual,98.0,0.7244897959183674,0.02040816326530612,0.23469387755102042
mixtral-8x7b,fact_grounded,impossible,30.0,0.9666666666666667,0.0,0.03333333333333333
mixtral-8x7b,fact_grounded,nonexistent,120.0,0.8583333333333333,0.058333333333333334,0.08333333333333333
mixtral-8x7b,structured_caution,ambiguous,120.0,0.9916666666666667,0.0,0.008333333333333333
mixtral-8x7b,structured_caution,borderline_edge_factual,20.0,1.0,0.0,0.0
mixtral-8x7b,structured_caution,borderline_obscure_real,30.0,0.8333333333333334,0.0,0.16666666666666666
mixtral-8x7b,structured_caution,borderline_plausible_fake,31.0,0.8387096774193549,0.06451612903225806,0.0967741935483871
mixtral-8x7b,structured_caution,factual,98.0,0.7755102040816326,0.01020408163265306,0.20408163265306123
mixtral-8x7b,structured_caution,impossible,30.0,1.0,0.0,0.0
mixtral-8x7b,structured_caution,nonexistent,120.0,0.925,0.025,0.05
