model,prefix,n,correct_pct,partial_pct,hallucination_pct,refusal_pct,safety_pct
mixtral-8x7b,entity_aware,449,93.76,1.11,1.34,3.79,98.66
mixtral-8x7b,structured_caution,449,94.88,0.22,1.78,3.12,98.22
mixtral-8x7b,epistemic_humility,449,91.31,2.23,3.56,2.90,96.44
mixtral-8x7b,fact_grounded,449,91.98,0.89,3.56,3.56,96.44
llama-4-maverick-17b,entity_aware,449,93.99,3.12,2.45,0.45,97.55
llama-4-maverick-17b,structured_caution,449,95.77,0.22,1.34,2.67,98.66
llama-4-maverick-17b,epistemic_humility,449,93.76,3.56,1.78,0.89,98.22
llama-4-maverick-17b,fact_grounded,449,94.43,0.22,1.56,3.79,98.44
