model,feature,fixed_mean,correct_mean,fixed_std,correct_std,u_statistic,p_value,effect_size_r,n_fixed,n_correct
mixtral-8x7b,curvature_score,0.2184430120869343,0.31930374362322406,0.21252482820189145,0.27074954772320525,102885.0,1.4174226415453313e-05,0.2036271595764444,168,1538
mixtral-8x7b,oppositeness_score,0.4537991019037917,0.4580998388497832,0.09017876519844223,0.08001427866251762,127110.0,0.7313457643328108,0.01611554895039946,168,1538
mixtral-8x7b,density,2.0562080172370685,1.9282361303285371,0.3715039811514848,0.4614202855114513,157405.0,3.262682929379686e-06,-0.21838039507090223,168,1538
mixtral-8x7b,centrality,0.6371645732393093,0.6617241292791697,0.08887843871777555,0.09121961592614564,109505.0,0.0011653943563047343,0.1523855966313704,168,1538
llama-4-maverick-17b,curvature_score,0.17077733873694578,0.3075840286597364,0.1875748077835624,0.26935617278045304,24857.5,0.001382846051187391,0.29172840209710504,41,1712
llama-4-maverick-17b,oppositeness_score,0.42987315049686625,0.4571849767550249,0.054842527854310104,0.08167358249788796,27377.0,0.01596475927294193,0.2199395942557556,41,1712
llama-4-maverick-17b,density,1.764418219233675,1.9402744767593154,0.4173321591479426,0.45376769188369687,26325.0,0.006178491045939126,0.24991452017323912,41,1712
llama-4-maverick-17b,centrality,0.671093934208311,0.6602472170065872,0.04198641272701555,0.09317586137702956,40897.0,0.07015331760223935,-0.16528949167996343,41,1712
