model,comparison,feature,group1_mean,group2_mean,group1_std,group2_std,u_statistic,p_value,effect_size_r,n_group1,n_group2
mixtral-8x7b,fixed_vs_correct,curvature_score,0.36631924204819194,0.3584782014096383,0.303976412923173,0.3006420824313871,313051.5,0.8492702135708867,-0.006525261878580935,333,1868
mixtral-8x7b,fixed_vs_correct,oppositeness_score,0.5126490284684685,0.4913789803104925,0.05500767885288055,0.055721096917937245,378945.0,2.0508894014048093e-10,-0.21838648069911448,333,1868
mixtral-8x7b,fixed_vs_correct,density,2.024799286186186,2.0843457945396144,0.3488614621971003,0.35777403186589446,268511.0,6.922257721317034e-05,0.13668164952961526,333,1868
mixtral-8x7b,fixed_vs_correct,centrality,0.7051437173573575,0.7136335027944326,0.06620263626090868,0.07235230016209983,290764.0,0.05794911854848468,0.06513365614008015,333,1868
mixtral-8x7b,broken_vs_fixed,curvature_score,0.3001359375538649,0.36631924204819194,0.269558790507671,0.303976412923173,4178.5,0.5424453441072845,0.07051495940384833,27,333
mixtral-8x7b,broken_vs_fixed,oppositeness_score,0.5157697277777777,0.5126490284684685,0.053096352132002825,0.05500767885288055,4704.0,0.6891996814788093,-0.04637971304637967,27,333
mixtral-8x7b,broken_vs_fixed,density,1.9354444037037037,2.024799286186186,0.25139860694508553,0.3488614621971003,4077.0,0.42155385876038065,0.0930930930930931,27,333
mixtral-8x7b,broken_vs_fixed,centrality,0.7316487340740738,0.7051437173573575,0.06886929211097623,0.06620263626090868,5386.0,0.08702801507553462,-0.19808697586475366,27,333
llama-4-maverick-17b,fixed_vs_correct,curvature_score,0.34593472400265285,0.35869362470511934,0.3107953599081649,0.29886287479590545,210199.0,0.351202696914956,0.03887719105721721,211,2073
llama-4-maverick-17b,fixed_vs_correct,oppositeness_score,0.5245681817535545,0.4922858997877472,0.04870012125958765,0.05565850501647814,294680.0,8.41888805853681e-17,-0.34740731087806886,211,2073
llama-4-maverick-17b,fixed_vs_correct,density,2.032598791943128,2.084077926531596,0.30078084946226813,0.36711252014433066,202920.0,0.08377620208280893,0.07215999890261382,211,2073
llama-4-maverick-17b,fixed_vs_correct,centrality,0.6974648489573461,0.7144426173275447,0.0597310235852896,0.07428399024913485,187827.0,0.000717036267474755,0.1411718712491684,211,2073
llama-4-maverick-17b,broken_vs_fixed,curvature_score,0.43982234473029774,0.34593472400265285,0.2686782536448045,0.3107953599081649,3032.5,0.11266055067490759,-0.1976698262243286,24,211
llama-4-maverick-17b,broken_vs_fixed,oppositeness_score,0.5417279658333333,0.5245681817535545,0.04030019539547807,0.04870012125958765,3136.0,0.055832633237417335,-0.23854660347551349,24,211
llama-4-maverick-17b,broken_vs_fixed,density,1.8614806999999998,2.032598791943128,0.17128649628745457,0.30078084946226813,1687.0,0.007450483996906547,0.3337282780410743,24,211
llama-4-maverick-17b,broken_vs_fixed,centrality,0.6983953716666665,0.6974648489573461,0.056500834134801836,0.0597310235852896,2452.0,0.8011063732981564,0.03159557661927326,24,211
