model,category,feature,broken_mean,fixed_mean,broken_std,fixed_std,u_statistic,p_value,effect_size_r,n_broken,n_fixed
mixtral-8x7b,borderline_plausible_fake,curvature_score,0.4888202058417456,0.43803476709872485,0.23750439696022094,0.3093346463295208,296.0,0.8087633622375224,-0.05714285714285716,7,80
mixtral-8x7b,borderline_plausible_fake,oppositeness_score,0.5313427628571429,0.517710352,0.06514965397364486,0.04203659120629337,326.0,0.48583304164436003,-0.16428571428571437,7,80
mixtral-8x7b,borderline_plausible_fake,density,1.6885942999999999,1.8264445462499999,0.19055739591748555,0.11490133675652534,159.0,0.0589953418098777,0.43214285714285716,7,80
mixtral-8x7b,borderline_plausible_fake,centrality,0.7152953885714286,0.695421203625,0.08229135935353371,0.05308807060905673,310.0,0.6520216112174118,-0.1071428571428572,7,80
mixtral-8x7b,factual,curvature_score,0.32885157465934756,0.28748784050708864,0.299285520342601,0.271755214600861,123.0,0.4795531807578699,-0.19999999999999996,5,41
mixtral-8x7b,factual,oppositeness_score,0.4444602840000001,0.45114576073170737,0.025676770246236783,0.03914102211540243,76.0,0.36993070966781794,0.25853658536585367,5,41
mixtral-8x7b,factual,density,2.18327448,2.0287097390243902,0.28560821892020544,0.22714631006237684,148.0,0.11432248237101626,-0.4439024390243902,5,41
mixtral-8x7b,factual,centrality,0.8033842659999999,0.790371027804878,0.027222624711222863,0.036613536192408855,133.0,0.2995927788647708,-0.29756097560975614,5,41
mixtral-8x7b,nonexistent,curvature_score,0.17595157944239104,0.36610819054086036,0.23956832737437797,0.3034427373858118,747.5,0.07336218965952726,0.2987804878048781,13,164
mixtral-8x7b,nonexistent,oppositeness_score,0.5355581269230769,0.5317010734146342,0.032697240921069425,0.05194927578486936,1131.0,0.7168295108774123,-0.060975609756097615,13,164
mixtral-8x7b,nonexistent,density,1.9588958307692306,2.1811166073170734,0.15923515113033507,0.401204404252249,710.0,0.04560146524421672,0.3339587242026266,13,164
mixtral-8x7b,nonexistent,centrality,0.7043308361538462,0.6775587640853659,0.053911544602891014,0.058394275255799113,1274.0,0.24328170304142815,-0.19512195121951215,13,164
llama-4-maverick-17b,borderline_plausible_fake,curvature_score,0.49901665321418215,0.41262822177099145,0.2747881433915224,0.32792835665587977,370.0,0.4056159422831901,-0.14906832298136652,14,46
llama-4-maverick-17b,borderline_plausible_fake,oppositeness_score,0.5564109307142858,0.5221996334782607,0.03729919293840312,0.04723056716345339,472.0,0.008977570860780631,-0.4658385093167703,14,46
llama-4-maverick-17b,borderline_plausible_fake,density,1.8028012857142859,1.8015711717391303,0.14679530326960977,0.16486750312916754,336.0,0.8134729198027282,-0.04347826086956519,14,46
llama-4-maverick-17b,borderline_plausible_fake,centrality,0.690147247857143,0.6938613908695651,0.05846689038552861,0.0697017539102673,316.0,0.9234196949411793,0.018633540372670843,14,46
llama-4-maverick-17b,impossible,curvature_score,0.39467833439509076,0.43291821767543925,0.34922087336784213,0.28640855558911277,42.0,0.9516129032258064,0.03448275862068961,3,29
llama-4-maverick-17b,impossible,oppositeness_score,0.5281189066666666,0.5297264103448276,0.028365687401227066,0.040077618015397456,39.0,0.8076612903225806,0.10344827586206895,3,29
llama-4-maverick-17b,impossible,density,2.0989945999999997,1.9999192379310347,0.03232050135332082,0.16669511443287796,64.0,0.20725806451612902,-0.47126436781609193,3,29
llama-4-maverick-17b,impossible,centrality,0.69291452,0.7279850086206896,0.018028160935303413,0.03990875909740445,19.0,0.12661290322580646,0.5632183908045977,3,29
llama-4-maverick-17b,nonexistent,curvature_score,0.3407811607633318,0.31077657055074925,0.22765810696435068,0.31144539621448825,428.0,0.5304241971596171,-0.1428571428571428,7,107
llama-4-maverick-17b,nonexistent,oppositeness_score,0.51819449,0.5336422259813084,0.041248388222794447,0.04761329584531819,307.0,0.43717747874283774,0.18024032042723637,7,107
llama-4-maverick-17b,nonexistent,density,1.8770478571428573,2.1487365009345796,0.17001632285129628,0.30055472943333217,166.0,0.011752935912099756,0.5567423230974633,7,107
llama-4-maverick-17b,nonexistent,centrality,0.7172405557142857,0.6777151830841123,0.06429934764386855,0.044934923595901996,499.0,0.14599350188587149,-0.3324432576769025,7,107
