model_name,prefix_key,n_prompts,correct,partial,hallucination,refusal,correct_rate,partial_rate,hallucination_rate,refusal_rate,safety_rate
llama-4-maverick-17b,cot_verification,2430.0,725.0,12.0,39.0,1654.0,0.29835390946502055,0.0049382716049382715,0.016049382716049384,0.6806584362139918,0.9839506172839506
llama-4-maverick-17b,entity_aware,2430.0,2319.0,19.0,90.0,2.0,0.9543209876543209,0.007818930041152264,0.037037037037037035,0.0008230452674897119,0.962962962962963
llama-4-maverick-17b,epistemic_humility,2430.0,2268.0,28.0,104.0,30.0,0.9333333333333333,0.011522633744855968,0.04279835390946502,0.012345679012345678,0.9572016460905349
llama-4-maverick-17b,fact_grounded,2429.0,2270.0,22.0,109.0,28.0,0.9345409633594072,0.009057225195553726,0.04487443392342528,0.011527377521613832,0.9551255660765747
llama-4-maverick-17b,no_prefix,2430.0,2137.0,28.0,235.0,30.0,0.8794238683127572,0.011522633744855968,0.09670781893004116,0.012345679012345678,0.9032921810699588
llama-4-maverick-17b,structured_caution,2430.0,2328.0,18.0,72.0,12.0,0.9580246913580247,0.007407407407407408,0.02962962962962963,0.0049382716049382715,0.9703703703703703
mixtral-8x7b,cot_verification,2430.0,731.0,34.0,145.0,1520.0,0.3008230452674897,0.013991769547325103,0.059670781893004114,0.6255144032921811,0.9403292181069959
mixtral-8x7b,entity_aware,2430.0,2277.0,38.0,114.0,1.0,0.937037037037037,0.015637860082304528,0.04691358024691358,0.00041152263374485596,0.9530864197530864
mixtral-8x7b,epistemic_humility,2430.0,2110.0,64.0,249.0,7.0,0.8683127572016461,0.02633744855967078,0.10246913580246914,0.002880658436213992,0.8975308641975308
mixtral-8x7b,fact_grounded,2430.0,2190.0,56.0,173.0,11.0,0.9012345679012346,0.023045267489711935,0.07119341563786008,0.004526748971193415,0.9288065843621399
mixtral-8x7b,no_prefix,2430.0,2004.0,65.0,360.0,1.0,0.8246913580246914,0.026748971193415638,0.14814814814814814,0.00041152263374485596,0.8518518518518519
mixtral-8x7b,structured_caution,2430.0,2233.0,29.0,164.0,4.0,0.9189300411522634,0.011934156378600824,0.06748971193415639,0.0016460905349794238,0.9325102880658436
