id,category,local_id,curvature_score,oppositeness_score,density,centrality
ambiguous_001,ambiguous,57.66172953847775,0.0,0.4156342885356943,1.565089779161521,0.6943067987160128
ambiguous_002,ambiguous,12.7711908968818,0.24313990749982972,0.39146578941784527,1.5494188584948603,0.6474066608678708
ambiguous_003,ambiguous,8.052094694088913,0.37694584891073246,0.5415378481426214,1.7437902048922571,0.6138856797792848
ambiguous_004,ambiguous,5.098198782166944,0.4330116608299781,0.5983200930324122,2.0226340416216866,0.4898837439065977
ambiguous_005,ambiguous,11.600796641478627,0.3310680273997213,0.4151787544611629,1.5339574399186924,0.6081579371302618
ambiguous_006,ambiguous,15.76145963537686,0.1413138809201515,0.5141315589513105,1.7204687480456802,0.6028643784035935
ambiguous_007,ambiguous,7.084282306669353,0.4005484034250958,0.4153020430058195,1.797933871847539,0.510114834897196
ambiguous_008,ambiguous,26.057744386186823,0.01534959855237017,0.5978762087457399,1.673835607493561,0.5807672954556702
ambiguous_009,ambiguous,0.8642357678586823,0.810222294169754,0.5410302434355854,2.5114981967544985,0.6306374868991557
ambiguous_010,ambiguous,16.855731317797684,0.19415740770763645,0.5191446546654289,1.494546629275374,0.6113482477448922
ambiguous_011,ambiguous,3.186713882628411,0.5995234990144458,0.47494222830359945,2.122441373264552,0.6553088670603009
ambiguous_012,ambiguous,15.005056303641823,0.12183214778430529,0.5307091580913543,1.8939818832179183,0.6585438843052543
ambiguous_013,ambiguous,1.5286634177412182,0.7724038517771424,0.44348515666025257,1.9462265891593498,0.6229171077909272
ambiguous_014,ambiguous,3.244430284121323,0.6877869638338374,0.3406184786625097,1.6801685806586029,0.5598087171451318
ambiguous_015,ambiguous,15.370085889974591,0.07488265618393508,0.5403786977350308,2.4801267596860943,0.6049597616493123
ambiguous_016,ambiguous,11.77040789247627,0.3069413007184477,0.505434350708284,1.6664480364598728,0.6475945771235175
ambiguous_017,ambiguous,275.9153659586412,1.1102230246251565e-16,0.6441140285314355,1.7388711806095025,0.5973611560236411
ambiguous_018,ambiguous,11.37665998722874,0.16650669911345162,0.5751745627456685,2.305337895685948,0.5956230372096071
ambiguous_019,ambiguous,2.8540568145038363,0.6400820383970782,0.5592930588133187,1.9712885429724085,0.6716728168110198
ambiguous_020,ambiguous,1.6173475460872626,0.8702335599916571,0.47578641963807144,1.6218106379540818,0.6132351198139129
ambiguous_021,ambiguous,3.3776128534999095,0.5513977297138246,0.5894761743693043,2.249832014101308,0.6138440852372811
ambiguous_022,ambiguous,5.975203604389157,0.4695611249339706,0.557593390406148,1.8092404199825933,0.6209669822204826
ambiguous_023,ambiguous,8.483643969188593,0.39538948238035165,0.5691931090140199,1.5974707545419053,0.6390235378932696
ambiguous_024,ambiguous,3.9484309281792003,0.5600616541125466,0.5474490621143892,1.9474567275802197,0.6587056818194755
ambiguous_025,ambiguous,37.77877677479285,1.1102230246251565e-16,0.5106095191091136,1.717618831627363,0.6042423054737268
ambiguous_026,ambiguous,1.7761586036273942,0.8029824602360072,0.4762927540079238,1.9964146994909064,0.5788244380193986
ambiguous_027,ambiguous,2.671884712139023,0.7462294848301148,0.561990511289969,1.8558160134863284,0.6013932288997351
ambiguous_028,ambiguous,0.6179643873043389,0.8284786975331595,0.6069539484982892,2.5252847706619868,0.520238781426611
ambiguous_029,ambiguous,2.1176372498298273,0.7931952680808365,0.5211016725058244,1.6836064487505507,0.6382090357137444
ambiguous_030,ambiguous,47.87119720618787,1.1102230246251565e-16,0.3769112341871377,1.6846024223061324,0.6528189816525457
ambiguous_031,ambiguous,3.339471943979067,0.5685058951090427,0.6107826018382412,2.2055847467960965,0.6262884744490513
ambiguous_032,ambiguous,2.259805011989778,0.6829092070440796,0.5170154613674063,1.9308048152207933,0.6754168115601773
ambiguous_033,ambiguous,3.478476903814165,0.6167776008064441,0.43870016870928774,1.518717559541779,0.6928879755034043
ambiguous_034,ambiguous,8.537334401379102,0.31314174483126134,0.2799115946595805,1.6499273580196876,0.6394289681050225
ambiguous_035,ambiguous,10.003700106694458,0.23363873931989976,0.5995409792297617,1.8805644152105414,0.6670465182364049
ambiguous_036,ambiguous,3.6194803555064325,0.6276224533827568,0.5623739359238051,1.5892633047376137,0.6412019805384152
ambiguous_037,ambiguous,6.643236911994237,0.4491127308604709,0.5782578488815339,1.6707950743696884,0.699227244385367
ambiguous_038,ambiguous,1.4301332446915669,0.8451080973533927,0.5699479455504015,1.8336043336604242,0.6326007058657358
ambiguous_039,ambiguous,0.9768177453716343,0.8130909935005967,0.4889086036678165,1.7563203109542787,0.6826573138008563
ambiguous_040,ambiguous,7.235561679241396,0.48625829916853736,0.5043973347121689,1.535061761847751,0.6645937380627402
ambiguous_041,ambiguous,27.0074545260508,0.0016078756047434029,0.6072897145645578,2.0888225913679226,0.647653958115617
ambiguous_042,ambiguous,3.816038831261721,0.49891150136614304,0.6038762545313004,2.103179871899225,0.6457938607053698
ambiguous_043,ambiguous,0.8656644715796472,0.798812350776882,0.5456339072752676,1.733411502278331,0.6208376147481497
ambiguous_044,ambiguous,14.371143596667983,0.25467574778025237,0.3773390650507239,1.4950757348698924,0.7616907139889422
ambiguous_045,ambiguous,9.520085550987481,0.2799245064006258,0.5278178880200208,1.888180109976153,0.6943091444305937
ambiguous_046,ambiguous,3.4580759080796706,0.6786776640025185,0.5170638626306951,1.7299415745206668,0.6504704154867347
ambiguous_047,ambiguous,229.12648494771108,1.1102230246251565e-16,0.4204184642286358,2.145766562972512,0.6329053904462384
ambiguous_048,ambiguous,19.420680370506343,0.024188279223107623,0.5909074505400813,2.288906955513617,0.6177365398757858
ambiguous_049,ambiguous,19.141921440924083,0.1338319435655816,0.44990891222734275,1.5380400685614082,0.7674039652651337
ambiguous_050,ambiguous,13.847264935959958,0.20357781909131656,0.33892483155524,1.620548187876778,0.5601221853378529
ambiguous_051,ambiguous,10.537761855794349,0.34403318358342827,0.4601494762342334,1.7112681100866873,0.6224850162467718
ambiguous_052,ambiguous,10.975625317985896,0.27939257285756336,0.5614773117956802,1.579181005976968,0.691461514624911
ambiguous_053,ambiguous,59.51231074615953,0.0,0.4788564546870152,2.1799795276397185,0.6232148844192703
ambiguous_054,ambiguous,10.756769563877855,0.29338680784927473,0.39340787249385634,1.7759208571980347,0.580785475337196
ambiguous_055,ambiguous,4.4686766576414625,0.5199148386004376,0.5199714445316406,2.5969744426951213,0.5732440090446347
