id,category,local_id,curvature_score,oppositeness_score,density,centrality
ambiguous_001,ambiguous,3.1928520011209187,0.5902945399284363,0.48454416,2.1983275,0.71505713
ambiguous_002,ambiguous,7.0059577225940375,0.35305172204971313,0.4906119,2.0945387,0.64649665
ambiguous_003,ambiguous,6.735011886077117,0.44194090366363525,0.513729,2.2714558,0.6101323
ambiguous_004,ambiguous,21.95307814042733,5.960464477539063e-08,0.54606813,2.3809028,0.519399
ambiguous_005,ambiguous,25.782851961720787,5.960464477539063e-08,0.44755608,2.0945635,0.6353375
ambiguous_006,ambiguous,19.439876435493048,0.01281130313873291,0.44903058,2.0568538,0.60468304
ambiguous_007,ambiguous,43.491673149456226,5.960464477539063e-08,0.5058949,2.3492253,0.5191919
ambiguous_008,ambiguous,162.20759058749204,-1.1920928955078125e-07,0.5418047,2.0212786,0.59619117
ambiguous_009,ambiguous,0.8645786427655688,0.8261207342147827,0.52039915,2.7875502,0.6498181
ambiguous_010,ambiguous,90.91110033198997,0.0,0.48584694,1.6867354,0.6529441
ambiguous_011,ambiguous,3.1872900632187435,0.572907567024231,0.6269267,2.8240159,0.6617162
ambiguous_012,ambiguous,17.363336026537297,0.051040709018707275,0.5487139,2.5753899,0.6719622
ambiguous_013,ambiguous,39.765449795751245,5.960464477539063e-08,0.4785577,2.5769079,0.64676905
ambiguous_014,ambiguous,15.319692770014441,0.04373526573181152,0.4158641,2.167122,0.5611849
ambiguous_015,ambiguous,15.250612528916376,0.012678682804107666,0.50216055,2.6227543,0.627613
ambiguous_016,ambiguous,5.5850191455133915,0.4207667112350464,0.56136054,2.2910066,0.63512295
ambiguous_017,ambiguous,280.92385577763065,5.960464477539063e-08,0.5417173,1.8708974,0.61731595
ambiguous_018,ambiguous,1.360651001931342,0.8291304856538773,0.4955973,3.0994709,0.6278017
ambiguous_019,ambiguous,7.386135798017739,0.37970858812332153,0.53902173,3.0275934,0.6885892
ambiguous_020,ambiguous,1.7527987009167572,0.8269051313400269,0.52858794,2.0003211,0.62867004
ambiguous_021,ambiguous,3.9307925141355122,0.5901463627815247,0.4976005,3.8842397,0.632421
ambiguous_022,ambiguous,34.768011618546076,5.960464477539063e-08,0.4784894,2.239686,0.6277677
ambiguous_023,ambiguous,7.421634846509124,0.35349762439727783,0.5214093,1.9466782,0.6489095
ambiguous_024,ambiguous,3.939908075474676,0.5628308355808258,0.5359861,2.72263,0.6806367
ambiguous_025,ambiguous,72.00687998703833,1.1920928955078125e-07,0.45220202,1.94465,0.61611533
